诺基亚X71	黑色	157	76	180	unknown	双卡双待单通		64GB	6GB	6.39 英寸	2310x1080	unknown		unknown	3500	3.5mm	Type-C

5--->太空黑	6GB+128GB	2019-04-21 21:55--->很赞，很喜欢。手感很棒。物流速度超级快，赞一个。当天下单，当天收到。手机拿到手感很不错，外形100分，即使不喜欢金属条框，也中意这款手机。给安排了手机壳，简直完美。用了几天来评价，速度很流畅，我不玩游戏。就正常通话，~，~~类，电池可以用一天，还不错。手机没有发热卡顿的现象~总体来说就是四个字：爱不释手。
5--->太空黑	6GB+64GB	x71	2019-06-16 07:38--->诺基亚手机真正的情怀机，功能越来越人性化用着更加的舒心，这次的输入法有了很大的改进使用更加方便，天气预报更加准确及时，希望电池能换成4000的大容量就更完美！
5--->太空黑	6GB+64GB	x71	2019-05-16 14:01--->诺基亚手机一直是我用开的，用了一晚上感觉非常不错，
5--->太空黑	6GB+128GB	x71	2019-05-27 22:23--->手感不错，手机反应快。手机设计也很大气，但愿象以前的诺基亚一样耐用就完美了。
5--->太空黑	6GB+64GB	2019-04-24 14:31--->好多年没用Nokia了，手机总体来说很满意，手感没话说，相机没话说，挖孔屏也是意外的惊喜，如果再送个耳机就更好了。
5--->太空黑	6GB+64GB	x71	2019-06-16 12:47--->手机做工很有质感，原生安卓系统也很清爽，拍照功能不错。为了情怀买单，不过感觉没有想象中的那么结实。
5--->太空黑	6GB+64GB	2019-04-18 16:49--->照相不错！手感偏轻，机子质感很强！要是整机外壳都是亮铜色就好了！
5--->太空黑	6GB+64GB	x71	2019-06-23 21:38--->NOKIA 一如既往的好，照相很给力的，屏幕很赞，关键系统没有恶心的广告和乱七八糟的推送，这点我觉得最重要。
5--->太空黑	6GB+128GB	x71	2019-07-09 12:40--->比较有质感，还没使用，相信会不错，物流也很快。
5--->太空黑	6GB+64GB	x71	2019-06-07 17:32--->二天试用了！质量信的过！手感佳！显示诺基亚手机之王！给五分好评！谢谢！
5--->太空黑	6GB+128GB	x71	2019-07-13 16:37--->外形不错。拍照很漂亮。运行目前很流畅。
5--->太空黑	6GB+128GB	2019-04-22 10:02--->送俺大神 说是特别好特别好特别漂亮 视频为证哈
5--->太空黑	6GB+64GB	x71	2019-07-14 22:30--->用了好多天了，非常快，一点儿都不卡，虽然现在不是主流机型，但是值得推荐！
5--->太空黑	6GB+64GB	2019-04-27 08:49--->果然是老牌的力量，远行流畅，屏幕顺滑，造型冷俊，价廉物美，值得拥有。
5--->太空黑	6GB+64GB	x71	2019-05-05 10:41--->诺基亚依然的出色，手机做工很有一种精致的感觉。虽然现在诺基亚很小众，到但仍然感觉是特别的产物。
5--->太空黑	6GB+128GB	x71	2019-05-20 15:50--->东西很好，相信诺基亚手机，耐用，情怀，希望诺基亚更好。物流速度更快。
5--->太空黑	6GB+64GB	x71	2019-06-03 10:12--->刚刚收到，还没用，关注已久，趁着活动下单，物流很给力
5--->太空黑	6GB+64GB	x71	2019-06-18 19:21--->已经是超级用户了…钟情于诺基亚卡尔賽司镜头，系统一如既往干净流畅
5--->太空黑	6GB+64GB	2019-04-19 19:38--->不错 手感很好 反应也快 希望不要降价太快
5--->太空黑	6GB+64GB	x71	2019-06-06 14:30--->终于等到诺基亚一款真正意义的全面屏手，这这次入手绝对超值，特别是手机系统是最值得称赞的，很纯镜，只有区区几款预装软件，而且是可以缷载的
5--->太空黑	6GB+64GB	x71	2019-06-12 15:59--->质量还不错，电力也比较耐用，与我平时用的安卓手机一样好用，物超所值！
5--->太空黑	6GB+64GB	x71	2019-07-01 12:24--->买个妻子的，她很喜欢，我本人也用诺基亚。目前暂时没有发现异常，但是给好评。
5--->太空黑	6GB+128GB	x71	2019-05-06 14:11--->发货很快，第二天就收到货了，赞一个?，机子已经使用了两天了，整体感觉还是可以的，比较有质感。
5--->太空黑	6GB+64GB	x71	2019-05-08 23:13--->手机外漂亮，手感好，物流超级快，上午下单下午就收到了，而且上网速度也快好评。
5--->太空黑	6GB+128GB	x71	2019-07-03 17:38--->用過一段時間再來評論手機不錯手感也很好拍照也可以系統在完善一點就好了
5--->太空黑	6GB+64GB	x71	2019-06-18 18:20--->原装正品行货，目前正在使用中，与描述相符，外观看起来特别高端大气！！
5--->太空黑	6GB+64GB	x71	2019-06-17 17:58--->一直在用诺基亚手机，#粉吧，露米娅到安卓，之前机器换给妈妈，买了这个，个人来说够用，不玩游戏，速度可以，很流畅，拍照清晰
5--->太空黑	6GB+64GB	x71	2019-06-19 12:40--->读书时一致用诺基亚，，一致期待诺基亚出手感好的的手机。。。这个手机很不错。
5--->太空黑	6GB+64GB	x71	2019-07-05 12:18--->很好，未开封的原装机。遗憾的是商家没送手机壳和保护膜！
5--->太空黑	6GB+128GB	x71	2019-07-05 16:30--->好久就想买了，一直到现在。我很喜欢，我很满意。性能不错反应快，效果真不错。
5--->太空黑	6GB+64GB	x71	2019-06-03 23:03--->给家人买的，使用体验很好，尤其拍照效果很棒，待机时间也长。
5--->太空黑	6GB+64GB	x71	2019-05-15 19:31--->产品质量很好，发货也超快！物流送货****好！手机屏幕超大，体验很好！
5--->太空黑	6GB+128GB	x71	2019-06-01 18:26--->物流超快，手机感觉不错，开机速度快。
5--->太空黑	6GB+64GB	x71	2019-05-08 15:27--->用了两天了，很顺手，外观也靓丽，电量用一整天没问题
5--->太空黑	6GB+64GB	2019-04-18 14:41--->使用感不错啊～摸着也很有质感，老品牌值得信赖
5--->太空黑	6GB+128GB	x71	2019-06-21 12:53--->从诺基亚智能机出来就一直跟着，现在已入手了3部诺基亚知能手机！金属材质质量杠杠的！
5--->太空黑	6GB+64GB	2019-04-23 11:19--->等了很久终于出新机了，果断出手，很好用，尤其是照相的功能，很好用
5--->太空黑	6GB+128GB	x71	2019-05-21 22:33--->非常漂亮的手机。手机管家简洁实用。
5--->太空黑	6GB+64GB	2019-04-20 00:29--->为诺记充值一波信仰?手机上手还是很惊艳的！
5--->太空黑	6GB+64GB	x71	2019-07-01 13:58--->很不错，第一次在朋友推荐下在京东买了手机，手感不错，电池也耐用
5--->太空黑	6GB+128GB	x71	2019-07-10 09:05--->手机很好。速度很快。和我想向的一样。继续努力。
5--->太空黑	6GB+128GB	x71	2019-07-14 15:44--->看起来很不错，用一段时间了再追评
5--->太空黑	6GB+128GB	x71	2019-07-19 16:39--->目前看还不错，屏幕非常大，界面漂亮，具体还有待进一步考察。
5--->太空黑	6GB+64GB	2019-04-18 17:58--->很好，相当不错，真的非常的喜欢，我认为诺基亚真的很良心了
5--->太空黑	6GB+128GB	x71	2019-06-01 21:14--->用了一个月才做点评，非常好用的手机特喜欢。今天发现这款现在直降300元特别超值，推荐大家放心购买真是物有所值！
5--->太空黑	6GB+64GB	x71	2019-06-08 18:08--->收到货没让我失望，做工好，虽配置不高但操作流畅，满意！
5--->太空黑	6GB+64GB	x71	2019-07-22 11:15--->太喜欢了，看了很久终于选择了这款手机。京东快递很快，相信京东的产品，尤其是电子产品，希望这次也能给我惊喜，用的长长久久
5--->太空黑	6GB+128GB	x71	2019-05-05 21:16--->啥也不说，真的感谢快递小哥，真心服务，佩服，担心我没拿到货，晚上还打电话问一声。赞?赞?
5--->太空黑	6GB+64GB	x71	2019-05-26 21:32--->发货很快，安卓原生态系统就是棒！轻而易举就能用谷歌服务！拍照功能也不错
5--->太空黑	6GB+64GB	x71	2019-05-06 18:24--->手机很好用，诺基亚这是我用的第二款了，非常好用，就是这款的电有点不经用
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-19 11:44--->性价比超高的一款手机，诺基亚质量杠杠的，再次雄起啦，非常满意京东的物流
5--->太空黑	6GB+128GB	x71	2019-06-16 22:21--->非常满意的京东购物，第二次购买，儿子很开心
5--->太空黑	6GB+64GB	x71	2019-06-19 21:46--->很期待诺基亚…还很不错滴
5--->太空黑	6GB+128GB	x71	2019-06-19 11:24--->诺基亚，我的情怀！用起来还不错，比起华为P30性价比要好很多。手机很漂亮！
5--->太空黑	6GB+64GB	x71	2019-07-19 21:27--->很不错的手机，原生的安卓系统。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-04 06:53--->手机运行速度流畅，外观漂亮，性价比高，非常满意，京东物流非常快
5--->太空黑	6GB+64GB	x71	2019-05-12 11:14--->手机比想象的好用，屏幕大，速度快，最好的是手感很好！
5--->太空黑	6GB+128GB	x71	2019-05-01 19:30--->手机收到了，很好用，处理器虽低但是手机反应真的很快。买的值。
5--->太空黑	6GB+64GB	x71	2019-05-26 20:29--->买两部手机都在京东，是诺基亚7和诺基亚x71中途退货！收货！京东自营店买的安心！放心！看不上就退，客服务态度很好！有问题耐心，最主要是站在消费者立场，而且公平公正，使我非常感动！，对京东服务再次说声谢谢！。
5--->太空黑	6GB+64GB	x71	2019-05-31 22:30--->手机手感好，系统流畅！！！很多用，拍照好！值得大家购买！
5--->太空黑	6GB+64GB	2019-04-26 19:31--->玻璃机身，手感杠杠的，比塑料的不知道好到哪里去了
5--->太空黑	6GB+64GB	2019-04-22 14:28--->这个手机用起来挺棒的，日常使用毫无压力，配合安卓9简直太棒了。
5--->太空黑	6GB+64GB	x71	2019-06-05 12:05--->手机很有手感不错，上网速度也还行，用段时间再说吧！
5--->太空黑	6GB+64GB	x71	2019-05-21 22:33--->非常完美。特别是手机管家做的简洁实用。
5--->太空黑	6GB+64GB	x71	2019-04-30 01:26--->很久没有使用过诺基亚了！时隔很久第一次购买！感觉不错挺好的！
5--->太空黑	6GB+64GB	x71	2019-06-21 08:46--->很好，手感比其他手机好多了，拿在手里比拿苹果还自信
5--->太空黑	6GB+64GB	x71	2019-06-23 12:16--->外观很漂亮，手机很流畅，在同价位里这像素已经很好了。诺粉值得拥有???
5--->太空黑	6GB+128GB	x71	2019-06-24 15:22--->手机用着很流畅，手感也不错，很喜欢。愉快的一次购物。
5--->太空黑	6GB+64GB	2019-04-26 17:12--->很好。很流畅。相机很不错
5--->太空黑	6GB+64GB	x71	2019-05-04 22:11--->手机美观，系统简单，没广告比国产机好，照相很强
5--->太空黑	6GB+64GB	x71	2019-06-21 14:49--->从小就一直用诺基亚的手机，看到诺基亚回归就毫不犹豫的买了，很信赖诺基亚也很信赖京东，物流很快，快递也很敬业，超赞，还有一点小毛病就是容易死机，
5--->太空黑	6GB+64GB	x71	2019-06-24 20:20--->做活动买的，京东送货快，服务好，这款还有面部实别，很好
5--->太空黑	6GB+64GB	2019-04-19 07:45--->手机不错，很好用，充电口没有问题，耳机也到了。
5--->太空黑	6GB+64GB	x71	2019-06-06 09:29--->非常漂亮的手机，距离上一次买诺基亚手机，已经8年多了！
5--->太空黑	6GB+128GB	x71	2019-05-11 10:15--->很不错的手机！手感细腻拍照效果很好！相信诺基亚老牌子
5--->太空黑	6GB+64GB	x71	2019-06-02 22:13--->安卓9.0原生系统，这款手机很好，诺基亚不错的！
5--->太空黑	6GB+64GB	x71	2019-06-07 22:14--->用了三天，很流畅，性价比高，十年后的再次使用。
5--->太空黑	6GB+64GB	2019-04-23 21:25--->很流畅啊 别之前的三星s8好多了 这才是安卓该有的流程
5--->太空黑	6GB+128GB	2019-04-18 14:37--->做工精细，质量很好，系统简洁！很不错！
5--->太空黑	6GB+64GB	x71	2019-05-21 12:56--->不错哦……速度很快 灵敏度很高系统很干净……
5--->太空黑	6GB+64GB	x71	2019-06-01 17:44--->刚刚到手，感觉很棒，快递速度也快
5--->太空黑	6GB+64GB	x71	2019-06-08 10:21--->诺基亚王者归来！！！相同配置的手机中价格最亲民，品质和做工都是同行无法超越的，低调做事从不吹嘘。
5--->太空黑	6GB+64GB	x71	2019-05-31 23:02--->刚用上，手感非常好，流畅度非常满意，值得拥有
5--->太空黑	6GB+64GB	x71	2019-05-20 06:18--->照相很清晰，运行速度流畅，2200的价格能接受，不错！
5--->太空黑	6GB+128GB	2019-04-19 22:45--->非常好支持诺基亚，手机的配置超出了这个价位
5--->太空黑	6GB+128GB	2019-04-23 12:17--->很漂亮运行非常快?????
5--->太空黑	6GB+64GB	x71	2019-06-10 23:19--->挺好用的，原生系统，非常好看的外观，我相信诺基亚。
5--->太空黑	6GB+128GB	x71	2019-07-25 13:35--->东西很不错。尾插也不松。系统流畅。拍照什么的都不错。
5--->太空黑	6GB+64GB	2019-04-19 22:20--->手机收到了，高端大气上档次，超清像素，大爱。
5--->太空黑	6GB+64GB	x71	2019-05-08 17:42--->像素清晰手感不错网速还可以。这款手机非常满意，
5--->太空黑	6GB+64GB	2019-04-17 17:57--->争做第一批小白鼠 京东物流很快 拿到手先给5分，用过之后再来追加评价！
5--->太空黑	6GB+64GB	2019-04-19 08:43--->手机很漂亮，手感舒服！
5--->太空黑	6GB+128GB	x71	2019-05-03 11:45--->手机很好看，暂时没别的，用段时间后在说吧
5--->太空黑	6GB+128GB	x71	2019-05-15 20:33--->手机感觉超棒，运行速度很快，推荐周边朋友购买使用
5--->太空黑	6GB+64GB	2019-04-17 23:21--->京东快递就是#，上午下的单，下午就到了！！手机很漂亮！快递小哥辛苦了，谢谢了！
5--->太空黑	6GB+64GB	x71	2019-05-06 07:12--->很棒的手机，不论外观还是其他的什么，值得购买。
5--->太空黑	6GB+64GB	x71	2019-05-18 23:55--->物流超级快当天到，手机还比较满意，希望别再出现尾插问题，支持诺基亚
5--->太空黑	6GB+64GB	x71	2019-06-21 14:19--->还不错，系统很好看！
5--->太空黑	6GB+64GB	x71	2019-06-12 10:10--->收到手机很惊喜，心情大悦。好多功能慢慢研究中。
5--->太空黑	6GB+64GB	2019-04-28 02:41--->非常不错！特别是拍照，很出色，系统流畅！
5--->太空黑	6GB+128GB	x71	2019-07-09 08:17--->手机还不错，用起来很流畅，拿在手里也很有质感，
5--->太空黑	6GB+64GB	x71	2019-05-04 21:05--->价格便宜，物流快，性能很好
5--->太空黑	6GB+128GB	x71	2019-06-25 21:48--->手机很漂亮，弄了半天，感觉很好用。满意
5--->太空黑	6GB+128GB	x71	2019-05-26 15:12--->运行速度很快，内存也足够大，电池时间长
5--->太空黑	6GB+128GB	x71	2019-05-12 18:51--->真心强大，良心之作，不愧为一代神机，手感没得说
5--->太空黑	6GB+64GB	x71	2019-05-06 14:36--->东西已经收到了，很不错，物流也很快，昨天晚上下单，今天上午就到了
5--->太空黑	6GB+64GB	x71	2019-06-10 16:32--->给我爸买的，相机很nice，反应刚买肯定很好啦
5--->太空黑	6GB+64GB	2019-04-19 06:25--->拍照非常好的，超清晰度，很好用质量也很不错的
5--->太空黑	6GB+64GB	x71	2019-05-09 14:30--->京东的服务是非常的到位，速度的确快。有求必应。下次再来。谢谢您们！
5--->太空黑	6GB+64GB	x71	2019-07-19 16:41--->希望跟以前诺基亚那么耐用初上手感觉很好手工做的非常好
5--->太空黑	6GB+128GB	x71	2019-06-10 09:58--->物流很快，体验很好，不错的东西，拍照效果很好
5--->太空黑	6GB+128GB	2019-04-18 12:52--->物流很快，手机到了非常喜欢哈哈?
5--->太空黑	6GB+128GB	x71	2019-06-12 15:18--->目前来说非常喜欢，好过iPhone6，喜欢诺基亚
5--->太空黑	6GB+64GB	x71	2019-04-30 22:20--->好用，诺基亚手机真喜欢?非常满意的一次网购
5--->太空黑	6GB+64GB	x71	2019-06-19 00:28--->外观很好看，照相很清晰，像素没有虚报
5--->太空黑	6GB+64GB	x71	2019-06-23 00:49--->机子样子很不错，售后的态度也非常好，很不错
5--->太空黑	6GB+64GB	2019-04-20 13:21--->物流速度很快，第二天就收到了。手机也不错，送给我外甥的，学生，挺喜欢的。
5--->太空黑	6GB+64GB	2019-04-17 18:25--->手机不错是正品，很喜欢
5--->太空黑	6GB+128GB	x71	2019-06-08 17:55--->手机已用，性价比高，非常满意。
5--->太空黑	6GB+64GB	x71	2019-07-10 22:43--->老品牌，性价比很高，建议购买。同样的性价比，这样的价格真的非常实惠。
5--->太空黑	6GB+64GB	x71	2019-05-08 22:59--->一直都想再次买个诺基亚，这次终于如愿以偿了。质量很好。
5--->太空黑	6GB+64GB	x71	2019-06-23 00:43--->机子样子很不错，速度也快，做工也很到位
5--->太空黑	6GB+64GB	x71	2019-05-25 22:56--->机子不错很喜欢，物流很快，用段时间再评
5--->太空黑	6GB+64GB	x71	2019-07-03 20:43--->很好，附带APP都可卸载，屏幕色域非常棒
5--->太空黑	6GB+64GB	x71	2019-05-04 08:34--->稍微再薄一点就完美了 符合预期 超赞
5--->太空黑	6GB+64GB	2019-04-20 09:05--->还可以，用了一天了，快递很快，今天下单，明天就到了
5--->太空黑	6GB+128GB	x71	2019-05-12 14:58--->实际屏幕很合适，系统运行ok,物流快！
5--->太空黑	6GB+64GB	x71	2019-07-27 10:14--->手机效果很好 反应也快洛基亚很喜欢
5--->太空黑	6GB+128GB	x71	2019-07-20 15:04--->昨天收到迫不及待打开来试用，超乎想象值得拥有，
5--->太空黑	6GB+128GB	x71	2019-06-23 11:20--->一直就喜欢诺基亚的手机，质量好，售后服务也很好！
5--->太空黑	6GB+128GB	2019-04-21 18:09--->诺基亚手机一直是我的最爱。手机拿在手里很舒服。
5--->太空黑	6GB+64GB	2019-04-25 14:57--->卖家服务态度很好，发货速度很快，帮朋友买的，朋友很满意，挺好
5--->太空黑	6GB+64GB	x71	2019-06-10 23:50--->收到货了，比想象的更完美，快递真给力，超级快
5--->太空黑	6GB+64GB	x71	2019-06-08 23:30--->物流太给力了，手机只喜欢诺基亚这个牌子～新款特价买一个先用用～
5--->太空黑	6GB+128GB	2019-04-27 20:28--->好评，送给家人，比以往的诺基亚智能机好很多了。
5--->太空黑	6GB+128GB	x71	2019-05-18 22:59--->手机很好。对得起这个品牌。只是偶尔手机会发烫
5--->太空黑	6GB+64GB	x71	2019-06-23 22:27--->一直在京东购买，物流很快，小哥很好。价格再优惠点就更好了！
5--->太空黑	6GB+128GB	x71	2019-05-24 12:36--->手机不错，一直使用诺基亚机器。系统流畅，非常棒。
5--->太空黑	6GB+64GB	x71	2019-05-20 08:44--->帮老公买的，看了好久才决定买的，到手很满意，物流很快，很满意的一次购物
5--->太空黑	6GB+128GB	x71	2019-05-23 12:32--->很不错的机器，很想体验原生的系统
5--->太空黑	6GB+64GB	x71	2019-05-31 23:09--->物流小哥非常的好，手机也是棒棒的，之前用的是X6，希望X71不会让我失望！！！
5--->太空黑	6GB+64GB	x71	2019-07-20 15:53--->产品质量很好值得购买物美价廉，诺基亚忠实粉丝，为信仰充值
5--->太空黑	6GB+64GB	x71	2019-06-29 05:35--->用了一段时间才来评价，真的很好用，良心品质。
5--->太空黑	6GB+128GB	x71	2019-07-19 17:58--->手机大小合适，满满的情怀，很满意
5--->太空黑	6GB+128GB	x71	2019-07-06 11:52--->京东物流就是好，就是快，东西很好，哇哈哈哈哈哈哈哈哈哈，棒棒哒
5--->太空黑	6GB+64GB	x71	2019-05-17 18:04--->手机都是在京东买的，机机很好，物流奇快，不错。
5--->太空黑	6GB+128GB	x71	2019-06-17 21:08--->手机很漂亮，拍照非常给力，非常值得购买。给五星。
5--->太空黑	6GB+64GB	x71	2019-06-06 22:51--->外观，手感，操作系统都很好
5--->太空黑	6GB+64GB	x71	2019-06-07 16:36--->手机太棒了，运行速度快，照相清晰
5--->太空黑	6GB+64GB	x71	2019-07-16 18:24--->手机很流畅，第三台诺基亚了，希望越来越好！
5--->太空黑	6GB+64GB	x71	2019-07-15 23:07--->手机反应很快，手感不错，送货很快
5--->太空黑	6GB+64GB	2019-04-20 14:24--->可以，屏幕非常好，诺基亚手机质感依然可以，
5--->太空黑	6GB+64GB	x71	2019-05-13 18:06--->除了情怀，手机体验比国产差很多，支持国产
5--->太空黑	6GB+64GB	2019-04-29 18:05--->像素不错，很清楚，是我想要的那种
5--->太空黑	6GB+128GB	x71	2019-07-24 08:27--->运行很流畅，手感好，性价比很高
5--->太空黑	6GB+64GB	2019-04-19 20:56--->速度快，外观很漂亮，未发现问题
5--->太空黑	6GB+128GB	x71	2019-05-24 22:00--->用起来很顺手、挺不错、用段时间再来评价
5--->太空黑	6GB+128GB	x71	2019-07-23 18:30--->还好吧，屏幕看起来很舒服的。
5--->太空黑	6GB+64GB	x71	2019-05-06 17:43--->物流很快，价格优惠京东一直信赖，质量保证正品。
5--->太空黑	6GB+64GB	x71	2019-06-19 05:32--->质量很好，很好保证，值得购买
5--->太空黑	6GB+128GB	x71	2019-06-21 12:20--->手机反映挺快的，很实用的手机
5--->太空黑	6GB+64GB	2019-04-26 22:34--->很好，一直用诺基亚十多年了。无条件支持。
5--->太空黑	6GB+64GB	x71	2019-07-21 12:04--->纯净版非常的流畅，非常愉快的一次购物
5--->太空黑	6GB+64GB	x71	2019-05-09 22:01--->手机速度很快 使用流畅 诺基亚老粉！
5--->太空黑	6GB+64GB	2019-04-22 07:47--->东西不错奥，用起来流畅影像很赞的啊！
5--->太空黑	6GB+64GB	x71	2019-05-08 13:48--->用起很流畅，照相功能很强大
5--->太空黑	6GB+128GB	x71	2019-07-04 20:00--->小试过还很不错，反应敏捷。
5--->太空黑	6GB+64GB	x71	2019-05-26 13:04--->工业设计一如既往，玻璃后盖手感很棒
5--->太空黑	6GB+64GB	x71	2019-05-11 10:30--->这个价格相对于性价比来讲，确实物超所值！！！！！
5--->太空黑	6GB+64GB	x71	2019-06-07 14:13--->大品牌，有保障，物流挺快。很好，很好
5--->太空黑	6GB+128GB	x71	2019-06-16 10:25--->非常好的手机，从六用到现在真棒，卖家还送了高压锅
5--->太空黑	6GB+64GB	x71	2019-05-24 21:44--->很流畅屏幕也大诺基亚有用心去做
5--->太空黑	6GB+64GB	x71	2019-07-17 00:14--->外观超出预期，系统很干净
5--->太空黑	6GB+64GB	x71	2019-05-29 06:57--->这款使用感受不错哦，还非常便宜
5--->太空黑	6GB+128GB	x71	2019-05-22 11:00--->此手机非常好用，卖家太度非常好
5--->太空黑	6GB+64GB	x71	2019-06-16 14:20--->东西很漂亮 用起很顺手。
5--->太空黑	6GB+64GB	2019-04-24 08:15--->手感很棒。物流速度超级快，赞一个
5--->太空黑	6GB+64GB	x71	2019-05-07 21:34--->手感很不错，运行速度快。
5--->太空黑	6GB+64GB	x71	2019-05-20 15:34--->物流非常快习惯好评 不知道机子速度咋样
5--->太空黑	6GB+64GB	x71	2019-06-09 00:52--->性价比很高，感觉很好，值得拥有。
5--->太空黑	6GB+64GB	x71	2019-06-10 20:13--->不错，新系统很流畅，性价比很高
5--->太空黑	6GB+128GB	x71	2019-06-02 20:45--->诺基亚水桶机，各方面都很均匀
5--->太空黑	6GB+64GB	x71	2019-05-21 12:05--->真的很好用，流畅，完美！
5--->太空黑	6GB+128GB	x71	2019-05-29 17:38--->很满意，开机声音还是那么熟悉
5--->太空黑	6GB+128GB	x71	2019-06-11 00:19--->手机全屏，看着很不错。
5--->太空黑	6GB+64GB	x71	2019-07-07 09:04--->可以，流畅的很，视频也是可以的
5--->太空黑	6GB+64GB	x71	2019-05-13 03:32--->比想象的好太多了，物超所值
5--->太空黑	6GB+128GB	x71	2019-05-31 08:37--->手机不错速度很快，老品牌值得信赖
5--->太空黑	6GB+64GB	x71	2019-06-05 15:24--->质量很好，送的礼品少了一样
5--->太空黑	6GB+64GB	2019-04-25 22:15--->我的老朋友终于回来了，很好?
5--->太空黑	6GB+64GB	x71	2019-06-07 14:11--->用了半个月了。很不错。
5--->太空黑	6GB+128GB	x71	2019-07-23 20:48--->物美价廉，值得购买，非常非常好好
5--->太空黑	6GB+128GB	x71	2019-06-14 17:10--->尝试一下诺基亚，配置很高。
5--->太空黑	6GB+128GB	x71	2019-07-29 09:16--->物流速度真的太棒，优秀优秀优秀??
5--->太空黑	6GB+128GB	x71	2019-07-06 15:09--->非常好，拍照效果也超级好
5--->太空黑	6GB+64GB	x71	2019-06-19 16:06--->这个价格可以的，性价比超级高。
5--->太空黑	6GB+64GB	x71	2019-07-24 11:11--->诺基亚重出江湖，我是奔着颜值买的，因为我也不玩游戏，就看看电影发发~，所以配置差不多够用就行。手机外观非常漂亮，屏占比高，最喜欢那个打孔设计。目前可见的缺点是手机充电速度比华为要慢，而且机身会发热。
5--->太空黑	6GB+64GB	x71	2019-06-15 12:29--->用了两个星期个人觉得整体还是不错的，耗电不算高，挺耐用的，玩游戏王者荣耀流畅，游戏过程机子不算烫，只是微热，属于正常范围内，照相功能能满足家庭需求。
5--->太空黑	6GB+64GB	2019-04-19 16:52--->前两天刚买了个vivox27，拍的照片发黃，看视频色彩不行，果断亏了1000元~，本来想买X71128G的，但没货，就买了64G的，收到手机后，比想象中的好不少，屏幕素质太好了，色彩艳丽不伤眼，上个月入手三星S10E,指纹解锁偏上用不习惯，打电话音质不行，诺基亚x71完美，对于喜欢夜拍的，可以下载谷歌相机，效果很好，大爱
5--->太空黑	6GB+64GB	2019-04-27 14:42--->昨天晚上买的，中午就到了不得不说真的快。还有这手机是真的不错，前面有朋友说照相不怎么样，但是我感觉真的没觉得，
5--->太空黑	6GB+64GB	x71	2019-06-01 11:00--->手机很漂亮，高档大气，是原生态系统，非常流畅，不同于国产手机的安卓系统，照相功能很强大，缺点是换卡不方便，小县城没有没有这种小电话卡，手机照相好像光圈不可调，也可能是我没找到调的按键。
5--->太空黑	6GB+64GB	2019-04-19 19:50--->喜欢。外观，使用方面都挺好的，诺基亚回来之后给自己买的第一台诺基亚。爱你
5--->太空黑	6GB+64GB	x71	2019-06-09 09:26--->手机很漂亮，性能稳定，速度快，拍照清晰。最喜欢的是系统干净，没有那么多绑定的程序。唯一的问题是Google play不能用，有些功能用不了。
5--->太空黑	6GB+64GB	2019-04-20 12:17--->原本是带着惊喜去购买这款手机的，收货以后，主要看一下摄像头，拍照真的很渣，特别是前置摄像头，拍的照片无法忍受。屏幕看起来挺不错的，但是握在手里感觉太宽了，不舒服。手机既没有贴膜，也没有手机壳。手机整体做工比较精致。
5--->太空黑	6GB+64GB	2019-04-20 23:16--->外观设计做工都不错，在两千元档里面可算顶尖水平，没有反人类的刘海屏也保留了耳机插孔，好评。开机试用了一下，屏幕相机什么的都还过得去吧，没有特别惊艳的地方。不过这不重要，我重点关注的是该机器能不能装谷歌全家桶，研究了一下，可行，迅速的装起来,然后机器自带软件也都能卸载，可算是非常友好。各种装软件测试功能更新系统，重度使用了一个白天，电量还剩45%,续航也是好评。总体而言，强烈推荐。
5--->太空黑	6GB+64GB	x71	2019-07-12 16:45--->這款手機外形非常漂亮，手感不錯，做工細節沒有挑剔，系統乾淨，運行流暢，設計人員還是用了心的，非要有缺點的話播放音樂的時候音色不夠悅耳，沒有6的音色好，這款音色比較硬，不夠動聽有點不舒服，非專業聽不出的哈，LCD可視區四個圓角若再小點就顯得完美了，兩點評價決對專業角度出發，電池耐用，喜歡的諾粉可以下手，不會虧，由於是雙面玻璃，建議購買護套，贈送的耳塞真心的不咋的，只能說可以用，過得去吧！總體評價:值得擁有
5--->太空黑	6GB+64GB	x71	2019-07-24 11:11--->诺基亚重出江湖，我是奔着颜值买的，因为我也不玩游戏，就看看电影发发~，所以配置差不多够用就行。手机外观非常漂亮，屏占比高，最喜欢那个打孔设计。目前可见的缺点是手机充电速度比华为要慢，而且机身会发热。
5--->太空黑	6GB+64GB	x71	2019-06-15 12:29--->用了两个星期个人觉得整体还是不错的，耗电不算高，挺耐用的，玩游戏王者荣耀流畅，游戏过程机子不算烫，只是微热，属于正常范围内，照相功能能满足家庭需求。
